timestamp,mission_id,sample_sec,mission_profile,altitude_ft,ambient_temp_c,throttle_pct,rpm,cht_c,egt_c,oil_pressure_bar,oil_temp_c,fuel_flow_lph,vibration_mm_s,battery_voltage_v,alternator_current_a,injection_timing_deg,engine_health_pct,anomaly_score,anomaly_flag,failure_stage,failure_event,failure_mode,severity,failure_probability_24h,rul_hours,maintenance_advisory
2026-09-04T14:00:00,SIM-MISSION-01,0,Endurance,24060.6,27.74,67.06,2785.8,93.43,678.68,4.597,89.2,32.08,2.32,27.46,26.31,17.83,85.77,0.489,0,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.5257,1450.0,Immediate inspection recommended
2026-09-04T14:00:01,SIM-MISSION-01,1,Endurance,23951.4,25.71,67.93,2739.3,92.93,682.68,4.557,90.12,31.86,2.531,27.612,25.88,17.901,85.32,0.5073,0,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.5412,1429.93,Immediate inspection recommended
2026-09-04T14:00:02,SIM-MISSION-01,2,Endurance,24100.9,27.82,70.65,2757.3,94.04,679.4,4.59,88.95,32.9,2.313,27.547,25.64,17.873,85.36,0.5058,0,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.5399,1409.87,Immediate inspection recommended
2026-09-04T14:00:03,SIM-MISSION-01,3,Endurance,23984.1,27.69,68.15,2739.8,94.06,677.44,4.394,90.56,33.82,2.579,27.558,26.57,17.812,84.02,0.5591,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.5852,1389.8,Immediate inspection recommended
2026-09-04T14:00:04,SIM-MISSION-01,4,Endurance,23964.0,26.82,66.21,2691.9,95.35,685.8,4.55,90.21,32.68,2.629,27.736,25.88,17.756,84.1,0.556,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.5826,1369.73,Immediate inspection recommended
2026-09-04T14:00:05,SIM-MISSION-01,5,Endurance,24049.9,27.08,68.98,2742.6,95.01,688.52,4.542,91.7,33.59,2.743,27.659,25.94,17.711,82.75,0.6099,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.6285,1349.67,Immediate inspection recommended
2026-09-04T14:00:06,SIM-MISSION-01,6,Endurance,24271.2,28.87,66.99,2700.9,95.06,688.8,4.51,91.9,34.22,2.839,27.654,26.0,17.796,82.54,0.6182,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.6355,1329.6,Immediate inspection recommended
2026-09-04T14:00:07,SIM-MISSION-01,7,Endurance,23965.4,28.3,70.58,2690.1,95.44,688.45,4.431,91.28,33.79,2.913,27.554,26.43,17.808,82.2,0.6319,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.6471,1309.53,Immediate inspection recommended
2026-09-04T14:00:08,SIM-MISSION-01,8,Endurance,23990.9,28.78,68.96,2710.2,96.56,688.88,4.396,91.21,34.46,2.902,27.74,25.88,17.758,81.77,0.6492,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.6618,1289.47,Immediate inspection recommended
2026-09-04T14:00:09,SIM-MISSION-01,9,Endurance,23765.8,28.37,68.13,2690.9,96.68,699.58,4.379,90.94,34.8,2.991,27.617,25.68,17.708,81.78,0.6488,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.6615,1269.4,Immediate inspection recommended
2026-09-04T14:00:10,SIM-MISSION-01,10,Endurance,23976.7,28.7,68.02,2659.0,97.08,695.51,4.271,90.68,35.07,3.09,27.534,25.92,17.723,81.38,0.6648,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.6751,1249.33,Immediate inspection recommended
2026-09-04T14:00:11,SIM-MISSION-01,11,Endurance,23916.4,28.58,68.71,2687.2,98.34,693.31,4.361,92.57,35.91,3.117,27.633,26.56,17.725,79.95,0.7219,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.7236,1229.27,Immediate inspection recommended
2026-09-04T14:00:12,SIM-MISSION-01,12,Endurance,23942.6,28.39,66.01,2636.0,96.61,698.18,4.303,91.85,36.22,3.195,27.589,26.29,17.828,79.62,0.7354,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.735,1209.2,Immediate inspection recommended
2026-09-04T14:00:13,SIM-MISSION-01,13,Endurance,23753.7,30.06,69.62,2655.5,98.52,703.82,4.157,91.13,36.45,3.329,27.691,26.08,17.763,79.48,0.7407,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.7396,1189.13,Immediate inspection recommended
2026-09-04T14:00:14,SIM-MISSION-01,14,Endurance,23946.8,27.83,68.45,2603.3,98.34,709.02,4.254,91.09,36.87,3.313,27.493,25.89,17.839,78.68,0.7729,1,PRE_FAILURE,0,Injector Failure,CRITICAL_WARNING,0.767,1169.07,Immediate inspection recommended
2026-09-04T14:00:15,SIM-MISSION-01,15,Endurance,23973.7,27.77,68.27,2610.8,97.87,709.54,4.204,92.78,36.63,3.461,27.603,25.94,17.83,37.6,0.816,1,FAILURE,1,Injector Failure,ENGINE_FAILURE,0.8036,20.0,Emergency shutdown / maintenance inspection
2026-09-04T14:00:16,SIM-MISSION-01,16,Endurance,24137.4,27.65,68.59,2604.7,98.43,711.81,4.154,92.6,37.4,3.577,27.558,26.29,17.805,37.19,0.8326,1,FAILURE,1,Injector Failure,ENGINE_FAILURE,0.8177,18.5,Emergency shutdown / maintenance inspection
2026-09-04T14:00:17,SIM-MISSION-01,17,Endurance,23980.0,27.77,67.84,2607.0,98.92,710.45,4.061,93.7,37.47,3.725,27.506,26.39,17.771,37.42,0.8233,1,FAILURE,1,Injector Failure,ENGINE_FAILURE,0.8098,17.0,Emergency shutdown / maintenance inspection
2026-09-04T14:00:18,SIM-MISSION-01,18,Endurance,24175.2,28.06,65.35,2605.8,99.33,713.14,4.21,92.66,37.43,3.744,27.65,26.37,17.841,36.44,0.8624,1,FAILURE,1,Injector Failure,ENGINE_FAILURE,0.843,15.5,Emergency shutdown / maintenance inspection
